"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"grerhe1",NA,"1","Rhea americana","Greater Rhea","Nandou d'Amérique","Ñandú Común",2021.01,8
"gretin1",NA,"3","Tinamus major","Great Tinamou","Grand Tinamou","Tinamú Mayor",2021.01,39
"wfwduc1",NA,"1","Dendrocygna viduata","White-faced Whistling-Duck","Dendrocygne veuf","Pijije Cariblanco",2021.01,219
"bbwduc",NA,"65","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Pijije Alas Blancas",2021.01,221
"fuwduc",NA,"2","Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygne fauve","Pijije Canelo",2021.01,226
"snogoo",NA,"121","Anser caerulescens","Snow Goose","Oie des neiges","Ganso Blanco",2021.01,242
"rosgoo",NA,"4","Anser rossii","Ross's Goose","Oie de Ross","Ganso de Ross",2021.01,245
"swagoo1",NA,"1","Anser cygnoides","Swan Goose","Oie cygnoïde","Ganso Cisnal",2021.01,252
"gwfgoo",NA,"13","Anser albifrons","Greater White-fronted Goose","Oie rieuse","Ganso Careto Mayor",2021.01,255
"gwfgoo2","gwfgoo","1","Anser albifrons gambelli/sponsa","Greater White-fronted Goose (Western)","Oie rieuse (gambelli/sponsa)","Ganso Careto (Occidental)",2021.01,258
"domgoo1",NA,"10","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)","Anser sp. (forme domestique)","Ganso sp. (Doméstico)",2021.01,277
"brant",NA,"3","Branta bernicla","Brant","Bernache cravant","Ganso de Collar",2021.01,279
"bargoo",NA,"1","Branta leucopsis","Barnacle Goose","Bernache nonnette","Ganso Cariblanco",2021.01,286
"cacgoo1",NA,"8","Branta hutchinsii","Cackling Goose","Bernache de Hutchins","Ganso Canadiense Menor",2021.01,292
"alcgoo1","cacgoo1","2","Branta hutchinsii leucopareia","Cackling Goose (Aleutian)","Bernache de Hutchins (leucopareia)","Ganso Canadiense Menor (leucopareia)",2021.01,293
"ricgoo1","cacgoo1","2","Branta hutchinsii hutchinsii","Cackling Goose (Richardson's)","Bernache de Hutchins (hutchinsii)","Ganso Canadiense Menor (hutchinsii)",2021.01,294
"cacgoo2","cacgoo1","1","Branta hutchinsii minima","Cackling Goose (minima)","Bernache de Hutchins (minima)","Ganso Canadiense Menor (minima)",2021.01,295
"cangoo",NA,"2181","Branta canadensis","Canada Goose","Bernache du Canada","Ganso Canadiense Mayor",2021.01,303
"cangoo4","cangoo","19","Branta canadensis moffitti/maxima","Canada Goose (moffitti/maxima)","Bernache du Canada (moffitti/maxima)","Ganso Canadiense Mayor (moffitti/maxima)",2021.01,304
"cangoo1","cangoo","7","Branta canadensis [canadensis Group]","Canada Goose (canadensis Group)","Bernache du Canada (groupe canadensis)","Ganso Canadiense Mayor (grupo canadensis)",2021.01,310
"x00415",NA,"9","Anser albifrons x Branta canadensis","Greater White-fronted x Canada Goose (hybrid)","Hybride Oie rieuse x Bernache du Canada","Ganso careto x Canadiense Mayor (híbrido)",2021.01,317
"x00759",NA,"4","Anser sp. (Domestic type) x Branta canadensis","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Hybride Anser sp. (forme domestique) x Bernache du Canada","Ganso sp. (Doméstico) x Ganso Canadiense Mayor (híbrido)",2021.01,320
"x00197",NA,"1","Anser caerulescens x Branta canadensis","Snow x Canada Goose (hybrid)","Hybride Oie des neiges x Bernache du Canada","Ganso Blanco x Canadiense Mayor (híbrido)",2021.01,321
"hawgoo",NA,"1","Branta sandvicensis","Hawaiian Goose","Bernache néné","Ganso Nené",2021.01,326
"goose1",NA,"2","Anser/Branta sp.","goose sp.","Anserinae sp.","Ganso sp.",2021.01,331
"mutswa",NA,"86","Cygnus olor","Mute Swan","Cygne tuberculé","Cisne Mudo",2021.01,337
"truswa",NA,"30","Cygnus buccinator","Trumpeter Swan","Cygne trompette","Cisne Trompetero",2021.01,341
"tunswa",NA,"41","Cygnus columbianus","Tundra Swan","Cygne siffleur","Cisne de Tundra",2021.01,343
"tunswa1","tunswa","2","Cygnus columbianus columbianus","Tundra Swan (Whistling)","Cygne siffleur (columbianus)","Cisne de Tundra (columbianus)",2021.01,344
"x00418",NA,"2","Cygnus buccinator x columbianus","Trumpeter x Tundra Swan (hybrid)","Hybride Cygne trompette x C. siffleur","Cisne Trompetero x de Tundra (híbrido)",2021.01,347
"y00471",NA,"32","Cygnus buccinator/columbianus","Trumpeter/Tundra Swan","Cygne trompette ou C. siffleur","Cisne Trompetero/de Tundra",2021.01,348
"swan1",NA,"4","Cygnus sp.","swan sp.","Cygne sp.","Cisne sp.",2021.01,352
"egygoo",NA,"11","Alopochen aegyptiaca","Egyptian Goose","Ouette d'Égypte","Ganso Egipcio",2021.01,373
"musduc",NA,"44","Cairina moschata","Muscovy Duck","Canard musqué","Pato Real",2021.01,397
"musduc3","musduc","34","Cairina moschata (Established Feral)","Muscovy Duck (Established Feral)","Canard musqué (forme domestique établie)","Pato Real (Feral Establecido)",2021.01,398
"musduc2",NA,"12","Cairina moschata (Domestic type)","Muscovy Duck (Domestic type)","Canard musqué (forme domestique)","Pato Real (Doméstico)",2021.01,399
"wooduc",NA,"907","Aix sponsa","Wood Duck","Canard branchu","Pato Arcoíris",2021.01,406
"manduc",NA,"3","Aix galericulata","Mandarin Duck","Canard mandarin","Pato Mandarín",2021.01,408
"baitea",NA,"1","Sibirionetta formosa","Baikal Teal","Sarcelle élégante","Cerceta del Baikal",2021.01,424
"buwtea",NA,"57","Spatula discors","Blue-winged Teal","Sarcelle à ailes bleues","Cerceta Alas Azules",2021.01,431
"cintea",NA,"5","Spatula cyanoptera","Cinnamon Teal","Sarcelle cannelle","Cerceta Canela",2021.01,432
"norsho",NA,"46","Spatula clypeata","Northern Shoveler","Canard souchet","Pato Cucharón Norteño",2021.01,443
"gadwal",NA,"53","Mareca strepera","Gadwall","Canard chipeau","Pato Friso",2021.01,447
"x00457",NA,"1","Spatula clypeata x Mareca strepera","Northern Shoveler x Gadwall (hybrid)","Hybride Canard souchet x C. chipeau","Cucharón Norteño x Pato Friso (híbrido)",2021.01,450
"eurwig",NA,"1","Mareca penelope","Eurasian Wigeon","Canard siffleur","Pato Silbón",2021.01,454
"amewig",NA,"92","Mareca americana","American Wigeon","Canard d'Amérique","Pato Chalcuán",2021.01,456
"x00724",NA,"1","Mareca strepera x americana","Gadwall x American Wigeon (hybrid)","Hybride Canard chipeau x C. d'Amérique","Pato Friso x Chalcuán (híbrido)",2021.01,460
"mallar3",NA,"3656","Anas platyrhynchos","Mallard","Canard colvert","Pato de Collar",2021.01,483
"mallar2",NA,"151","Anas platyrhynchos (Domestic type)","Mallard (Domestic type)","Canard colvert (forme domestique)","Pato de Collar (Doméstico)",2021.01,486
"mdxmal1",NA,"22","Cairina moschata x Anas platyrhynchos","Muscovy Duck x Mallard (hybrid)","Hybride Canard musqué x C. colvert","Pato Real x de Collar (híbrido)",2021.01,487
"x00205",NA,"34","Aix sponsa x Anas platyrhynchos","Wood Duck x Mallard (hybrid)","Hybride Canard branchu x C. colvert","Pato Arcoíris x de Collar (híbrido)",2021.01,488
"x00420",NA,"1","Mareca strepera x Anas platyrhynchos","Gadwall x Mallard (hybrid)","Hybride Canard chipeau x C. colvert","Pato Friso x de Collar (híbrido)",2021.01,490
"x00423",NA,"1","Anas platyrhynchos x wyvilliana","Mallard x Hawaiian Duck (hybrid)","Hybride Canard colvert x C. des Hawaï","Ánade Azulón x Hawaiano (híbrido)",2021.01,495
